Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR285481,2023-03-31 19:11:35,2023-03-31 19:29:14,22461273,4537177146,22461273,202,1861,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285481/DRR285481.lite.1,DRX274938,HB-peri1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,DRP009788,PRJDB11441,,951969,DRS292969,SAMD00292946,simple,80379,Capsicum chinense,SAMD00292946,,,,,,,no,,,,,CIRA,DRA011781,,public,D2A43024709D72D490BD10AF369D233B,79C2E6CAE5000F559C17A95D54CF7896
DRR285482,2023-03-31 19:11:35,2023-03-31 19:29:49,4635872,1158968000,4635872,250,374,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285482/DRR285482.lite.1,DRX274939,HB-peri2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,DRP009788,PRJDB11441,,951969,DRS292970,SAMD00292947,simple,80379,Capsicum chinense,SAMD00292947,,,,,,,no,,,,,CIRA,DRA011781,,public,8A0F6A02E115462475A0C2C458AFDE5B,291F7BD49F4994655222F4FB25BD9213
DRR285483,2023-03-31 19:11:35,2023-03-31 19:30:11,19225008,5767502400,19225008,300,2184,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285483/DRR285483.lite.1,DRX274940,HB-peri3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 4000,DRP009788,PRJDB11441,,951969,DRS292971,SAMD00292948,simple,80379,Capsicum chinense,SAMD00292948,,,,,,,no,,,,,CIRA,DRA011781,,public,276E0D656864E4B286658EFE646F7299,F520D178D2EDA0D734CAFE6E29A5D983
DRR285484,2023-03-31 19:11:35,2023-03-31 19:29:32,22210319,4486484438,22210319,202,1891,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285484/DRR285484.lite.1,DRX274941,MY-peri1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,DRP009788,PRJDB11441,,951969,DRS292972,SAMD00292949,simple,80379,Capsicum chinense,SAMD00292949,,,,,,,no,,,,,CIRA,DRA011781,,public,CF1AA1AF5A0507D2AD6201ADB70E7D59,FD723B01B2228A6DA8B67DF933EFB9C8
DRR285485,2023-03-31 19:11:35,2023-03-31 19:28:49,4440073,1110018250,4440073,250,358,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285485/DRR285485.lite.1,DRX274942,MY-peri2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,DRP009788,PRJDB11441,,951969,DRS292973,SAMD00292950,simple,80379,Capsicum chinense,SAMD00292950,,,,,,,no,,,,,CIRA,DRA011781,,public,FE81176B5C993D3821A0729C5FFBB374,C13DA84ED37AA7CA7AE3CDD8A744B087
DRR285486,2023-03-31 19:11:35,2023-03-31 19:29:16,18343051,5502915300,18343051,300,2078,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285486/DRR285486.lite.1,DRX274943,MY-peri3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 4000,DRP009788,PRJDB11441,,951969,DRS292974,SAMD00292951,simple,80379,Capsicum chinense,SAMD00292951,,,,,,,no,,,,,CIRA,DRA011781,,public,8376422152D7A2913A3392EAC752D6D0,64D386EBA1ADA4921893FEFE7C83D21D
DRR285487,2023-03-31 19:11:35,2023-03-31 19:28:28,22983323,4642631246,22983323,202,1931,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285487/DRR285487.lite.1,DRX274944,HB-pla1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,DRP009788,PRJDB11441,,951969,DRS292975,SAMD00292952,simple,80379,Capsicum chinense,SAMD00292952,,,,,,,no,,,,,CIRA,DRA011781,,public,B0AF9DE79560B14F5C97A6B43506411B,B34101FB14A90B44F7738F53E79EA354
DRR285488,2023-03-31 19:11:35,2023-03-31 19:29:14,4781107,1195276750,4781107,250,387,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285488/DRR285488.lite.1,DRX274945,HB-pla2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,DRP009788,PRJDB11441,,951969,DRS292976,SAMD00292953,simple,80379,Capsicum chinense,SAMD00292953,,,,,,,no,,,,,CIRA,DRA011781,,public,6630CEEAA29E536AC09526F5D8151380,1A385461B22EEED36C72115732EE2318
DRR285489,2023-03-31 19:11:35,2023-03-31 19:30:07,17676603,5302980900,17676603,300,2013,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285489/DRR285489.lite.1,DRX274946,HB-pla3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 4000,DRP009788,PRJDB11441,,951969,DRS292977,SAMD00292954,simple,80379,Capsicum chinense,SAMD00292954,,,,,,,no,,,,,CIRA,DRA011781,,public,A9C696C95EBB624264CAFDAAAD2DD88A,BFE13D0A7FF33D62C7B76E2EFB6785E5
DRR285490,2023-03-31 19:11:35,2023-03-31 19:30:08,5125898,1281474500,5125898,250,413,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/285/DRR285490/DRR285490.lite.1,DRX274947,MY-pla1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,DRP009788,PRJDB11441,,951969,DRS292978,SAMD00292955,simple,80379,Capsicum chinense,SAMD00292955,,,,,,,no,,,,,CIRA,DRA011781,,public,3DCE42223E59DF92356AC5D4DE483890,230130E43FDA68F157BD71F7F7BEF36A
