Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8061458,2019-11-16 17:21:05,2018-10-15 22:16:58,34658749,10397624700,34658749,300,3558,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/061/SRR8061458.sralite.1,SRX4890969,B3-A,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889670,SAMN09809422,simple,4072,Capsicum annuum,06g19-1-1-1 Br rep1,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,446085E8ED44BC49C30C5C08BC4C66B9,13FAC8DF453D047F29AA6F64D7C570A2
SRR8061457,2019-11-16 17:21:05,2018-10-15 22:12:04,30286138,9085841400,30286138,300,3088,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/061/SRR8061457.sralite.1,SRX4890970,B3-B,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889671,SAMN09809423,simple,4072,Capsicum annuum,06g19-1-1-1 Br rep2,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,3243A2ED303A23F60E5D1FBD8D6DDDE9,06370DA67B77FA02FCB1577EFB4C1041
SRR8061469,2019-11-16 17:21:05,2018-10-15 22:19:54,38273536,11482060800,38273536,300,4186,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/061/SRR8061469.sralite.1,SRX4890958,B3-C,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889657,SAMN09809424,simple,4072,Capsicum annuum,06g19-1-1-1 Br rep3,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,D9EFA6536CA8F4DA6D3C6135CF25D999,A2F176CC7A06A8592F8C0E098361F245
SRR8061456,2019-11-16 17:21:05,2018-10-15 22:17:20,23819828,7145948400,23819828,300,2618,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/061/SRR8061456.sralite.1,SRX4890971,B1-A,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889674,SAMN09809416,simple,4072,Capsicum annuum,06g19-1-1-1 IMG rep1,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,D3D9CCD4E2DB5ECB2CF70CAAF6071ACA,EC4F81A536123FA6D3B7DEE31EAAA6BC
SRR8061455,2019-11-16 17:21:05,2018-10-15 22:13:31,19793860,5938158000,19793860,300,2162,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/061/SRR8061455.sralite.1,SRX4890972,B1-B,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889675,SAMN09809417,simple,4072,Capsicum annuum,06g19-1-1-1 IMG rep2,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,16CF0EBC2794BDE73E0E4D869EB06AF7,E351510203EDA9EC3B41140A97910C70
SRR8061450,2019-11-16 17:21:05,2018-10-15 22:17:07,31784433,9535329900,31784433,300,3524,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/061/SRR8061450.sralite.1,SRX4890977,B1-C,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889676,SAMN09809418,simple,4072,Capsicum annuum,06g19-1-1-1 IMG rep3,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,5CD84A78A1225B7D5F5DF0072F0724C9,36AAFE6A448B12ECECA8226D27D057DB
SRR8061449,2019-11-16 17:21:05,2018-10-15 22:31:49,30693283,9207984900,30693283,300,3388,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/061/SRR8061449.sralite.1,SRX4890978,B2-A,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889677,SAMN09809419,simple,4072,Capsicum annuum,06g19-1-1-1 MG rep1,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,597A273B500883D0CA90E7074408B437,E3FBAC0171DB0E0C71CC4985748C95AC
SRR8061452,2019-11-16 17:21:05,2018-10-15 22:11:08,21905819,6571745700,21905819,300,2312,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/061/SRR8061452.sralite.1,SRX4890975,B2-B,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889678,SAMN09809420,simple,4072,Capsicum annuum,06g19-1-1-1 MG rep2,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,8D000C5D141A49517202A49CE7827248,1A1CE5E4D934CC7ED0F0AF701BDD6DF8
SRR8061451,2019-11-16 17:21:05,2018-10-15 22:24:33,41407915,12422374500,41407915,300,4552,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/061/SRR8061451.sralite.1,SRX4890976,B2-C,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889679,SAMN09809421,simple,4072,Capsicum annuum,06g19-1-1-1 MG rep3,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,9B87B9D72905063871B0D7F35E6ABA7F,47F90719EBC9F9A64ADE4EFCB94EB069
SRR8061470,2019-11-16 17:21:05,2018-10-15 22:21:50,31874941,9562482300,31874941,300,3598,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/061/SRR8061470.sralite.1,SRX4890957,B4-A,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP164597,PRJNA485468,,485468,SRS3889656,SAMN09809425,simple,4072,Capsicum annuum,06g19-1-1-1 MR rep1,,,,,,,no,,,,,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,SRA794686,,public,655C18D03EC3E24A0D85CC3FA95CC355,4A8095C410D7B87790A6436DD476A465
